instansi,bagian,uraian,program,kegiatan,sub_kegiatan,sub_rincian,Cluster
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja bahan komputer sub keg koordinasi penyusunan laporan capaian kinerja ikhtisar realisasi kinerja skpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan laporan capaian kinerja ikhtisar realisasi kinerja skpd,belanja alat bahan kegiatan kantor kertas cover,1
dinas kesehatan,upt laboratorium kesehatan daerah,pembayaran ls belanja jasa tenaga belanja jasa tagihan juli sub kegiatan operasional pelayanan fasilitas kesehatan upt labkesda sumber dana dau tematik ditentukan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,operasional pelayanan fasilitas kesehatan,belanja tagihan listrik,1
dinas perhubungan,bidang angkutan,belanja perjalanan dinas kota sub kegiatan fasilitasi pemenuhan persyaratan perolehan izin penyelenggaraan angkutan orang trayek kewenangankabupatenkota spj juli,program penyelenggaraan lintas angkutan jalan llaj,penerbitan izin penyelenggaraan angkutan orang trayek lintas daerah kabupaten kota daerah kabupaten kota,fasilitasi pemenuhan persyaratan perolehan izin penyelenggaraan angkutan orang trayek kewenangan kabupaten kota sistem pelayanan perizinan berusaha terintegrasi elektronik,belanja perjalanan dinas kota,4
dinas kependudukan pencatatan sipil,sekretariat disduk,pengajuan gu sub kegiatan penyediaan bahan logistik kantor agustus,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penyediaan bahan logistik kantor,belanja bahanbahan bakar pelumas,4
dinas perhubungan,upt perhubungan wilayah ii,sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan juni upt wilayah ii cileungsi,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja alat bahan kegiatan kantoralat tulis kantor,3
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,tagihan listrik agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan listrik,3
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja bahan komputer belanja makanan minuman rapat sub keg koordinasi penyusunan perubahan dpa skpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan perubahan dpa skpd,belanja makanan minuman rapat,1
dinas kependudukan pencatatan sipil,bidang pemanfaatan data inovasi pelayanan,pembayaran tagihan kawatfaksimiliinternet astinet telkom indonesia sub kegiatan fasilitasi terkait pengelolaan informasi administrasi kependudukan periode agustus,program pengelolaan informasi administrasi kependudukan,penyelenggaraan pengelolaan informasi administrasi kependudukan,fasilitasi terkait pengelolaan informasi administrasi kependudukan,belanja kawat faksimili internet tv berlangganan,1
dinas pemuda olahraga,bidang layanan kepemudaan,belanja alat bahan kegiatan kantor bahan cetak kegiatan pelatihan kepemimpinan awardee beasiswa pancakarsa,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,belanja alat bahan kegiatan kantor bahan cetak,2
dinas kependudukan pencatatan sipil,bidang pelayanan pencatatan sipil,pengajuan gu sub kegiatan peningkatan pelayanan pencatatan sipil agustus,program pencatatan sipil,pelayanan pencatatan sipil,peningkatan pelayanan pencatatan sipil,belanja perjalanan dinas kota,2
dinas kesehatan,sekretariat dinas kesehatan,belanja pemeliharaan alat kantor rumah tanggaalat rumah tanggaalat pendingin sub kegiatan pemeliharaan peralatan mesin,program penunjang urusan pemerintahan daerah kabupaten kota,pemeliharaan barang milik daerah penunjangurusan pemerintahan daerah,pemeliharaan peralatan mesin,belanja pemeliharaan alat kantor rumah tanggaalat rumah tanggaalat pendingin,4
dinas sosial,upt bks dinsos,belanja alat bahan kegiatan kantoralat tulis kantor upt bks,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa pelayanan kantor,belanja alat bahan kegiatan kantoralat tulis kantor,4
dinas kependudukan pencatatan sipil,sekretariat disduk,pengajuan gu sub kegiatan koordinasi penyusunan dpaskpd agustus,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan dpaskpd,belanja alat bahan kegiatan kantor kertas cover,1
dinas pekerjaan penataan ruang,bidang irigasi sumberdaya air,pembayaran termyn i termyn ii prestasi pekerjaan subsub kegiatan penyusunan ded tanggul penahan tebing paket iv,program pengelolaan sumber daya air sda,pengembangan pengelolaan sistem irigasi primer sekunder daerah irigasi luasnya ha daerah kabupaten kota,penyusunan rencana teknis dokumen lingkungan hidup konstruksi irigasi rawa,belanja modal bangunan air irigasi,2
dinas kependudukan pencatatan sipil,upt kependudukan pencatatan sipil wilayah i,pengajuan gu sub kegiatan pelayanan aktif pendaftaran peristiwa kependudukan pencatatan peristiwa terkait pencatatan sipil upt wilayah i parung agustus,program pencatatan sipil,penyelenggaraan pencatatan sipil,pelayanan aktif pendaftaran peristiwa kependudukan pencatatan peristiwa terkait pencatatan sipil,belanja bahanbahan bakar pelumas,1
dinas kesehatan,bidang kesehatan masyarakat,belanja makan minum rapat keg pengelolaan pelayanan kesehatan masyarakat termin iii,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,pengelolaan pelayanan kesehatan gizi masyarakat,belanja makanan minuman rapat,2
dinas komunikasi informatika,bidang aplikasi teknologi informasi infrastruktur informasi,belanja alat tulis kantor kertas cover bahan komputer sub kegaitan monitoring evaluasi pelaporan pengembangan ekosistem spbe,program pengelolaan aplikasi informatika,pengelolaan e government lingkup pemerintah daerah kabupaten kota,monitoring evaluasi pelaporan pengembangan ekosistem spbe,belanja alat bahan kegiatan kantor kertas cover,2
dinas kesehatan,sekretariat dinas kesehatan,belanja pemeliharaan alat angkutanalat angkutan darat bermotorkendaraan dinas bermototr perorangan sub kegiatan penyediaan jasa pemeliharaanbiaya pemeliharaanpajak perizinan kendaraan dinas operasional lapangan,program penunjang urusan pemerintahan daerah kabupaten kota,pemeliharaan barang milik daerah penunjangurusan pemerintahan daerah,penyediaan jasa pemeliharaan biaya pemeliharaan pajak perizinan kendaraan dinas operasional lapangan,belanja pemeliharaan alat angkutanalat angkutan darat bermotorkendaraan dinas bermotor perorangan,4
dinas perhubungan,upt perhubungan wilayah v,sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan juni upt wilayah v jasinga,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja pemeliharaan alat besaralat bantuunit pemeliharaan lapangan,3
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan pembangunan jembatan desa bojonggede kec bojonggede hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas komunikasi informatika,bidang persandian statistik,belanja alat tulis kantor kertas cover bahan cetak bahan komputer honorarium narasumber sub kegiatan membangun metadata statistik sektoral,program penyelenggaraan statistik sektoral,penyelenggaraan statistik sektoral lingkup daerah kabupaten kota,membangun metadata statistik sektoral,belanja alat bahan kegiatan kantoralat tulis kantor,1
dinas pendidikan,bidang sarana prasarana,pembangunan ruang lab komputer beserta perabotnya sdn pasireurih kec tamansari dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,pembangunan sarana prasarana utilitas sekolah,belanja modal bangunan gedung pendidikan,2
dinas sosial,sekretariat dinsos,penyediaan jasa pelayanan kantor,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa pelayanan kantor,belanja jasa penyelenggaraan acara,3
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan alokasi dana desa tahap ii desa bojongbaru kec bojong gede,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa bersumber alokasi dana desa,1
dinas kesehatan,bidang pelayanan kesehatan,pembayaran ls belanja pelayanan kesehatan diluar cakupan layanan bpjs rs helsa citeureup mei sub kegiatan pengelolaan jaminan kesehatan masyrakat,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,pengelolaan jaminan kesehatan masyarakat,belanja pembayaran pelayanan kesehatan cakupan layanan bpjs,2
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja bahan cetakbelanja bahan komputer sub keg pelaksanaan koordinasi bidang pendidikan politik etika budaya politik peningkatan demokrasi,program peningkatan peran partai politik lembaga pendidikan pendidikan politik pengembangan etika budaya politik,perumusan kebijakan teknis pemantapan pelaksanaan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik,pelaksanaan koordinasi bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik daerah,belanja alat bahan kegiatan kantorbahan komputer,1
dinas komunikasi informatika,sekretariat diskominfo,belanja bahan cetak sub kegiatan penatusahaan arsip dinamis skpd,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penatusahaan arsip dinamis skpd,belanja alat bahan kegiatan kantor bahan cetak,4
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan jalan desa tpt desa pabangbon kec leuwiliang hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas pekerjaan penataan ruang,bidang irigasi sumberdaya air,pembayaran termyn i termyn ii prestasi pekerjaan subsub kegiatan penyusunan ded tanggul penahan tebing paket v,program pengelolaan sumber daya air sda,pengembangan pengelolaan sistem irigasi primer sekunder daerah irigasi luasnya ha daerah kabupaten kota,penyusunan rencana teknis dokumen lingkungan hidup konstruksi irigasi rawa,belanja modal bangunan air irigasi,2
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja bahan cetak belanja bahan komputer belanja alat listrik sub keg pelaksanaan kebijakan bidang pendaftaran ormas pemberdayaan ormas,program pemberdayaan pengawasan organisasi kemasyarakatan,perumusan kebijakan teknis pemantapan pelaksanaan bidang pemberdayaan pengawasan organisasi kemasyarakatan,pelaksanaan kebijakan bidang pendaftaran ormas pemberdayaan ormas evaluasi mediasi sengketa ormas pengawasan ormas ormas asing daerah,belanja alat bahan kegiatan kantor bahan cetak,1
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan pembangunan saluran irigasi desa setu kec jasinga hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas pemuda olahraga,sekretariat dispora,belanja kegiatan koordinasi penyusunan dokumen perubahan rkaskpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan dokumen perubahan rkaskpd,belanja alat bahan kegiatan kantorbenda pos,1
dinas pekerjaan penataan ruang,bidang jasa konstruksi,belanja alatbahan kegiatan kantor alat tulis kantor subsub kegiatan sosialisasi pengawasan jasa konstruksi,program pengembangan jasa konstruksi,pengawasan tertib usaha tertib penyelenggaraan tertib pemanfaatan jasa konstruksi,bimbingan teknis tertib usaha tertib penyelenggaraan tertib pemanfaatan jasa konstruksi,belanja alat bahan kegiatan kantoralat tulis kantor,2
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan pembangunan tpt desa cikeas kec sukaraja hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja perjalanan dinas sub keg penyelenggaraan rapat koordinasi konsultasi skpd,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penyelenggaraan rapat koordinasi konsultasi skpd,belanja perjalanan dinas,4
dinas kependudukan pencatatan sipil,bidang pelayanan pencatatan sipil,pengajuan gu sub kegiatan pencatatan penatausahaan penerbitan dokumen pelaporan peristiwa agustus,program pencatatan sipil,pelayanan pencatatan sipil,pencatatan penatausahaan penerbitan dokumen pelaporan peristiwa,belanja perjalanan dinas kota,2
dinas perhubungan,bidang prasarana perlengkapan jalan,pembayaran belanja modal bangunan gedung kantor terminal bojonggede sub kegiatan rehabilitasi pemeliharaan terminal fasilitas utama pendukung,program penyelenggaraan lintas angkutan jalan llaj,pengelolaan terminal penumpang tipe c,rehabilitasi pemeliharaan terminal fasilitas utama pendukung,belanja modal bangunan gedung kantor,3
dinas komunikasi informatika,sekretariat diskominfo,belanja alat tulis kantor kertas cover bahan cetak sub kegiatan evaluasi kinerja perangkat daerah,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,evaluasi kinerja perangkat daerah,belanja alat bahan kegiatan kantoralat tulis kantor,1
dinas sosial,bidang rehabilitasi sosial,belanja jasa tenaga penanganan sosialpendamping,program rehabilitasi sosial,rehabilitasi sosial dasar penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis panti sosial,pemberian layanan data pengaduan,belanja jasa tenaga penanganan sosial,4
badan pengelolaan keuangan aset daerah,bidang perbendaharaan,biaya bantuan keuangan infrastruktur desa tahap i kegiatan pengaspalan jalan desa desa pamegarsari kec parung hr,program pengelolaan keuangan daerah,penunjang urusan kewenangan pengelolaan keuangan daerah,analisis perencanaan penyaluran bantuan keuangan,belanja bantuan keuangan khusus kabupaten kota desa,1
dinas perhubungan,bidang angkutan,belanja jasa tenaga supir juli sub kegiatan penyediaan angkutan jasa angkutan orang danatau barang kota daerah kabupatenkota,program penyelenggaraan lintas angkutan jalan llaj,penyediaan angkutan jasa angkutan orang barang kota daerah kabupaten kota,penyediaan angkutan jasa angkutan orang barang kota daerah kabupaten kota,belanja jasa tenaga supir,2
dinas pemuda olahraga,bidang layanan kepemudaan,belanja perjalanan dinas kota kegiatan pelatihan kepemimpinan awarde beasiswa pancakarsa angkatan,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,belanja perjalanan dinas kota,2
dinas pendidikan,bidang sarana prasarana,rehabilitasi toilets beserta sanitasinya sdn sukawangi kec sukamakmur dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat sarana prasarana utilitas sekolah,belanja modal bangunan pelengkap air bersih air baku,3
dinas kependudukan pencatatan sipil,sekretariat disduk,pengajuan gu sub kegiatan koordinasi penyusunan dokumen rka skpd agustus,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan dokumen rka skpd,belanja alat bahan kegiatan kantoralat tulis kantor,1
dinas pemuda olahraga,bidang peningkatan prestasi olahraga,belanja gu biaya juli kegiatan koordinasi sinkronisasi pelaksanaan penyediaan sarana prasarana kabupatenkota,program pengembangan kapasitas daya saing keolahragaan,pembinaan pengembangan olahraga pendidikan jenjang pendidikan kewenangan daerah kabupaten kota,koordinasi sinkronisasi pelaksanaan penyediaan sarana prasarana olahraga kabupaten kota,belanja makanan minuman rapat,4
dinas pendidikan,bidang sarana prasarana,pembayaran hibah mis raudatul islamiyah,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat ruang kelas,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas komunikasi informatika,sekretariat diskominfo,belanja alat tulis kantor kertas cover bahan cetak sub kegiatan evaluasi kinerja perangkat daerah,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,evaluasi kinerja perangkat daerah,belanja alat bahan kegiatan kantor bahan cetak,1
dinas kependudukan pencatatan sipil,sekretariat disduk,pengajuan gu sub kegiatan koordinasi penyusunan dokumen rka skpd agustus,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan dokumen rka skpd,belanja alat bahan kegiatan kantor bahan cetak,1
dinas sosial,bidang perlindungan jaminan sosial,belanja jasa tenaga penanganan sosial,program penanganan bencana,penyelenggaraan pemberdayaan masyarakat kesiapsiagaan bencana kabupaten kota,koordinasi sosialisasi pelaksanaan taruna siaga bencana,belanja jasa tenaga penanganan sosial,2
dinas kesehatan,rsud cibinong,pembayaran air agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan air,3
dinas sosial,bidang pemberdayaan sosial,belanja jasa tenaga penanganan sosialpendamping sosial,program pemberdayaan sosial,pengembangan potensi sumber kesejahteraan sosial daerah kabupaten kota,peningkatan kemampuan potensi sumber kesejahteraan sosial kelembagaan masyarakat kewenangan kabupaten kota,belanja jasa tenaga penanganan sosial,2
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja perjalanan dinas sub keg pelaksanaan monitoring evaluasi pelaporan bidang ketahanan ekonomi sosial budaya,program pembinaan pengembangan ketahanan ekonomi sosial budaya,perumusan kebijakan teknis pemantapan pelaksanaan bidang ketahanan ekonomi sosial budaya,pelaksanaan monitoring evaluasi pelaporan bidang ketahanan ekonomi sosial budaya fasilitasi pencegahan penyalagunaan narkotika fasilitasi kerukunan umat beragama penghayat kepercayaan daerah,belanja perjalanan dinas,1
dinas kesehatan,bidang sumberdaya kesehatan,pembayaran belanja modal alat kesehatan kebidanan penyakit kandungan pengadaan usg sub kegiatan pengadaan alat kesehatanalat penunjang medik fasilitas pelayanan kesehatan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan fasilitas pelayanan kesehatan ukm ukp kewenangan daerah kabupaten kota,pengadaan alat kesehatan alat penunjang medik fasilitas pelayanan kesehatan,belanja modal alat kesehatan kebidanan penyakit kandungan,2
dinas perhubungan,upt perhubungan wilayah i,sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan juli upt wilayah i cibinong,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja pemeliharaan alat besaralat bantuunit pemeliharaan lapangan,3
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan ipal skala permukiman minimal kk desa cibitung kulon kecamatan pamijahan dak fisik reguler pengembangan sistem pengelolaan air limbah domestik terpusat spaldt dak,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas pemuda olahraga,upt pendidikan pelatihan olahraga pelajar mahasiswa,belanja bahan bakar pelumas juli kegiatan pemusatan latihan daerah ilmu pengetahuan teknologi keolahragaan sport sciene,program pengembangan kapasitas daya saing keolahragaan,pembinaan pengembangan olahraga prestasi tingkat daerah provinsi,pemusatan latihan daerah ilmu pengetahuan teknologi keolahragaan sport science,belanja bahanbahan bakar pelumas,4
dinas kependudukan pencatatan sipil,sekretariat disduk,pengajuan gu sub kegiatan penyusunan dokumen perencanaan perangkat daerah agustus,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,penyusunan dokumen perencanaan perangkatdaerah,belanja alat bahan kegiatan kantor bahan cetak,3
dinas pendidikan,bidang paud dikmas,pengajuan gu belanja atk kertas cover bahan komputer belanja perjalanan dinas kota sub kegiatan peningkatan kapasitas peningkatan kapasitas pengelolaan dana bos sekolah menengah dau ta,program pengelolaan pendidikan,pengelolaan pendidikan sekolah menengah,peningkatan kapasitas pengelolaan dana bos sekolah menengah,belanja alat bahan kegiatan kantorbahan komputer,2
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan ipal skala permukiman minimal kk desa gunung menyan kecamatan pamijahan dak fisik reguler pengembangan sistem pengelolaan air limbah domestik terpusat spaldt dak,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
